ticker,sector,klass,in_ntm
ELIQUID.NS,Others,fund/etf/other,False
ELM250.NS,Others,fund/etf/other,False
EMULTIMQ.NS,Others,fund/etf/other,False
ENEXT50.NS,Others,fund/etf/other,False
ENIFTY.NS,Others,fund/etf/other,False
EQUAL50ADD.NS,Others,fund/etf/other,False
ESENSEX.NS,Others,fund/etf/other,False
ESILVER.NS,Others,fund/etf/other,False
ESPRIT.NS,Diversified Consumer Services,fund/etf/other,False
FCONSUMER.NS,FMCG,fund/etf/other,False
FLEXIADD.NS,Others,fund/etf/other,False
FMCGADD.NS,Others,fund/etf/other,False
GATECHDVR.NS,Others,fund/etf/other,False
GOLD360.NS,Others,fund/etf/other,False
GOLDADD.NS,Others,fund/etf/other,False
GOLDBND.NS,Others,fund/etf/other,False
GOLDENTOBC.NS,Realty,fund/etf/other,False
GOLDIAM.NS,Textiles Apparels & Accessories,fund/etf/other,False
GOLDKART.NS,Textiles Apparels & Accessories,fund/etf/other,False
GOLDSTAR.NS,Automobiles & Auto Components,fund/etf/other,False
GOLDTECH.NS,Software & Services,fund/etf/other,False
GROWWCAPM.NS,Others,fund/etf/other,False
GROWWCHEM.NS,Others,fund/etf/other,False
GROWWDEFNC.NS,Others,fund/etf/other,False
GROWWEV.NS,Others,fund/etf/other,False
GROWWGOLD.NS,Others,fund/etf/other,False
GROWWHOSPI.NS,Others,fund/etf/other,False
GROWWLIQID.NS,Others,fund/etf/other,False
GROWWLOVOL.NS,Others,fund/etf/other,False
GROWWMC150.NS,Others,fund/etf/other,False
GROWWMETAL.NS,Others,fund/etf/other,False
GROWWMOM50.NS,Others,fund/etf/other,False
GROWWN200.NS,Others,fund/etf/other,False
GROWWNET.NS,Others,fund/etf/other,False
GROWWNIFTY.NS,Others,fund/etf/other,False
GROWWNXT50.NS,Others,fund/etf/other,False
GROWWPOWER.NS,Others,fund/etf/other,False
GROWWPSE.NS,Others,fund/etf/other,False
GROWWPSUBK.NS,Others,fund/etf/other,False
GROWWRAIL.NS,Others,fund/etf/other,False
GROWWRLTY.NS,Others,fund/etf/other,False
GROWWSC250.NS,Others,fund/etf/other,False
GROWWSLVR.NS,Others,fund/etf/other,False
GSEC10ABSL.NS,Others,fund/etf/other,False
GVPTECHPP.NS,Others,fund/etf/other,False
HDFCBSE500.NS,Others,fund/etf/other,False
HDFCGOLD.NS,Others,fund/etf/other,False
HDFCGROWTH.NS,Others,fund/etf/other,False
HDFCLIQUID.NS,Others,fund/etf/other,False
HDFCLOWVOL.NS,Others,fund/etf/other,False
HDFCMID150.NS,Others,fund/etf/other,False
HDFCMOMENT.NS,Others,fund/etf/other,False
HDFCNEXT50.NS,Others,fund/etf/other,False
HDFCNIF100.NS,Others,fund/etf/other,False
HDFCNIFBAN.NS,Others,fund/etf/other,False
HDFCNIFIT.NS,Others,fund/etf/other,False
HDFCNIFTY.NS,Others,fund/etf/other,False
HDFCPSUBK.NS,Others,fund/etf/other,False
HDFCPVTBAN.NS,Others,fund/etf/other,False
HDFCQUAL.NS,Others,fund/etf/other,False
HDFCSENSEX.NS,Others,fund/etf/other,False
HDFCSILVER.NS,Others,fund/etf/other,False
HDFCSML250.NS,Others,fund/etf/other,False
HDFCVALUE.NS,Others,fund/etf/other,False
HEALTHADD.NS,Others,fund/etf/other,False
HEALTHY.NS,Others,fund/etf/other,False
ITADD.NS,Others,fund/etf/other,False
LIQUIDADD.NS,Others,fund/etf/other,False
LIQUIDBETF.NS,Others,fund/etf/other,False
LIQUIDETF.NS,Others,fund/etf/other,False
MIDCAPADD.NS,Others,fund/etf/other,False
MIDQ50ADD.NS,Others,fund/etf/other,False
MOMENTUM.NS,Others,fund/etf/other,False
MSCI360.NS,Others,fund/etf/other,False
MSCIADD.NS,Others,fund/etf/other,False
NEXT30ADD.NS,Others,fund/etf/other,False
NEXT50ADD.NS,Others,fund/etf/other,False
NIFTYADD.NS,Others,fund/etf/other,False
NIFTYBETF.NS,Others,fund/etf/other,False
NIFTYQLITY.NS,Others,fund/etf/other,False
PSUBANKADD.NS,Others,fund/etf/other,False
PVTBANKADD.NS,Others,fund/etf/other,False
PVTBKGROWW.NS,Others,fund/etf/other,False
SENSEXADD.NS,Others,fund/etf/other,False
SILVER.NS,Others,fund/etf/other,False
SILVER360.NS,Others,fund/etf/other,False
SILVERADD.NS,Others,fund/etf/other,False
SILVERBND.NS,Others,fund/etf/other,False
SMALLADD.NS,Others,fund/etf/other,False
SMALLGROWW.NS,Others,fund/etf/other,False
TECH.NS,Others,fund/etf/other,False
TOP10ADD.NS,Others,fund/etf/other,False
20MICRONS.NS,Metals & Mining,genuine-company,False
3IINFOLTD.NS,Software & Services,genuine-company,False
3PLAND.NS,Realty,genuine-company,False
63MOONS.NS,Software & Services,genuine-company,False
A2ZINFRA.NS,Cement and Construction,genuine-company,False
AAATECH.NS,Commercial Services & Supplies,genuine-company,False
AAKAAR.NS,Healthcare,genuine-company,False
AAKASH.NS,Oil & Gas,genuine-company,False
AARADHYA.NS,Commercial Services & Supplies,genuine-company,False
AAREYDRUGS.NS,Pharmaceuticals & Biotechnology,genuine-company,False
AARON.NS,General Industrials,genuine-company,False
AARTECH.NS,General Industrials,genuine-company,False
AARTISURF.NS,Chemicals & Petrochemicals,genuine-company,False
AARVI.NS,Diversified Consumer Services,genuine-company,False
AATMAJ.NS,Healthcare,genuine-company,False
ABAN.NS,Oil & Gas,genuine-company,False
ABCAPITAL.NS,Diversified,genuine-company,True
ABCOTS.NS,Textiles Apparels & Accessories,genuine-company,False
ABHAPOWER.NS,Metals & Mining,genuine-company,False
ABINFRA.NS,Cement and Construction,genuine-company,False
ABMINTLLTD.NS,Commercial Services & Supplies,genuine-company,False
ABSMARINE.NS,Transportation,genuine-company,False
ACCELYA.NS,Software & Services,genuine-company,False
ACCENTMIC.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ACCORD.NS,Telecom Services,genuine-company,False
ACCPL.NS,Pharmaceuticals & Biotechnology,genuine-company,False
ACCURACY.NS,Transportation,genuine-company,False
ACEINTEG.NS,Commercial Services & Supplies,genuine-company,False
ACETEC.NS,Textiles Apparels & Accessories,genuine-company,False
ACL.NS,Cement and Construction,genuine-company,False
ACTIVEINFR.NS,Cement and Construction,genuine-company,False
ADDICTIVE.NS,Diversified Consumer Services,genuine-company,False
ADFFOODS.NS,FMCG,genuine-company,False
ADISOFT.NS,General Industrials,genuine-company,False
ADL.NS,Forest Materials,genuine-company,False
ADOR.NS,General Industrials,genuine-company,False
ADROITINFO.NS,Software & Services,genuine-company,False
ADSL.NS,Software & Services,genuine-company,False
ADVANCE.NS,Chemicals & Petrochemicals,genuine-company,False
ADVANIHOTR.NS,Hotels Restaurants & Tourism,genuine-company,False
ADVENTHTL.NS,Hotels Restaurants & Tourism,genuine-company,False
AEROENTER.NS,Metals & Mining,genuine-company,False
AEROFLEX.NS,Metals & Mining,genuine-company,False
AERON.NS,General Industrials,genuine-company,False
AERONEU.NS,Commercial Services & Supplies,genuine-company,False
AESTHETIK.NS,Cement and Construction,genuine-company,False
AFFORDABLE.NS,General Industrials,genuine-company,False
AGARIND.NS,Chemicals & Petrochemicals,genuine-company,False
AGARWALFT.NS,Commercial Services & Supplies,genuine-company,False
AGARWALTUF.NS,Cement and Construction,genuine-company,False
AGI.NS,Commercial Services & Supplies,genuine-company,False
AGIIL.NS,Realty,genuine-company,False
AGNI.NS,Utilities,genuine-company,False
AGRITECH.NS,"Food, Beverages & Tobacco",genuine-company,False
AGROPHOS.NS,Fertilizers,genuine-company,False
AGSTRA.NS,Software & Services,genuine-company,False
AGUL.NS,Metals & Mining,genuine-company,False
AHCL.NS,Pharmaceuticals & Biotechnology,genuine-company,False
AHLADA.NS,Metals & Mining,genuine-company,False
AHLEAST.NS,Hotels Restaurants & Tourism,genuine-company,False
AHLWEST.NS,Hotels Restaurants & Tourism,genuine-company,False
AILIMITED.NS,Commercial Services & Supplies,genuine-company,False
AIMTRON.NS,Commercial Services & Supplies,genuine-company,False
AIRAN.NS,Software & Services,genuine-company,False
AIROLAM.NS,Diversified Consumer Services,genuine-company,False
AISL.NS,Commercial Services & Supplies,genuine-company,False
AJAXENGG.NS,Automobiles & Auto Components,genuine-company,False
AJMERA.NS,Realty,genuine-company,False
AJOONI.NS,"Food, Beverages & Tobacco",genuine-company,False
AKANKSHA.NS,Consumer Durables,genuine-company,False
AKASH.NS,Cement and Construction,genuine-company,False
AKG.NS,Commercial Services & Supplies,genuine-company,False
