symbol,name,sector
AUSL,,Metals & Mining
AUSOMENT,,Commercial Services & Supplies
AUTOAXLES,,Automobiles & Auto Components
AUTOIND,,Automobiles & Auto Components
AVADHSUGAR,,"Food, Beverages & Tobacco"
AVANA,,General Industrials
AVANTEL,,Telecommunications Equipment
AVATAR,,General Industrials
AVG,,Transportation
AVIANSH,,Textiles Apparels & Accessories
AVPINFRA,,Cement and Construction
AVROIND,,General Industrials
AVTNPL,,"Food, Beverages & Tobacco"
AWHCL,,Utilities
AXITA,,Textiles Apparels & Accessories
AYMSYNTEX,,Textiles Apparels & Accessories
BABAFP,,"Food, Beverages & Tobacco"
BAFNAPH,,Pharmaceuticals & Biotechnology
BAGDIGITAL,,Media
BAGFILMS,,Media
BAGMANE,,Realty
BAHETI,,Metals & Mining
BAJAJCON,,FMCG
BAJAJFINSV,,Diversified
BAJAJHCARE,,Pharmaceuticals & Biotechnology
BAJAJHIND,,"Food, Beverages & Tobacco"
BAJAJHLDNG,,Diversified
BAJEL,,General Industrials
BALAJIPHOS,,Fertilizers
BALAJITELE,,Media
BALAXI,,Pharmaceuticals & Biotechnology
BALKRISHNA,,Commercial Services & Supplies
BALMLAWRIE,,Diversified
BALPHARMA,,Pharmaceuticals & Biotechnology
BANARBEADS,,Textiles Apparels & Accessories
BANARISUG,,"Food, Beverages & Tobacco"
BANG,,Textiles Apparels & Accessories
BANKA,,Utilities
BANSALWIRE,,Metals & Mining
BANSWRAS,,Textiles Apparels & Accessories
BARFLEX,,Commercial Services & Supplies
BASF,,Chemicals & Petrochemicals
BASILIC,,Media
BASML,,Textiles Apparels & Accessories
BAWEJA,,Media
BBL,,Consumer Durables
BBTCL,,Commercial Services & Supplies
BCG,,Software & Services
BCLIND,,FMCG
BCONCEPTS,,Retailing
BEACON,,Commercial Services & Supplies
BEARDSELL,,Commercial Services & Supplies
BEDMUTHA,,Metals & Mining
BELLACASA,,Textiles Apparels & Accessories
BEPL,,Chemicals & Petrochemicals
BESTAGRO,,Chemicals & Petrochemicals
BETA,,Pharmaceuticals & Biotechnology
BEWLTD,,General Industrials
BFINVEST,,Diversified
BFUTILITIE,,Utilities
BGLOBAL,,Software & Services
BGRENERGY,,Utilities
BHADORA,,Consumer Durables
BHAGCHEM,,Chemicals & Petrochemicals
BHAGERIA,,Chemicals & Petrochemicals
BHAGYANGR,,Metals & Mining
BHANDARI,,Textiles Apparels & Accessories
BHARATCOAL,,Metals & Mining
BHARATGEAR,,Automobiles & Auto Components
BHARATRAS,,Chemicals & Petrochemicals
BHARATSE,,Automobiles & Auto Components
BHARATWIRE,,Metals & Mining
BIGBLOC,,Cement and Construction
BIKEWO,,Retailing
BIL,,Textiles Apparels & Accessories
BILVYAPAR,,Media
BIOFILCHEM,,Pharmaceuticals & Biotechnology
BIOPOL,,Chemicals & Petrochemicals
BIRDYS,,Hotels Restaurants & Tourism
BIRET,,Realty
BIRLACABLE,,Telecommunications Equipment
BIRLANU,,Cement and Construction
BLAL,,Realty
BLISSGVS,,Pharmaceuticals & Biotechnology
BLKASHYAP,,Cement and Construction
BLSE,,Commercial Services & Supplies
BLUECOAST,,Hotels Restaurants & Tourism
BLUEPEBBLE,,Commercial Services & Supplies
BLUEWATER,,Transportation
BLUSPRING,,Commercial Services & Supplies
BMETRICS,,Commercial Services & Supplies
BMLL,,Pharmaceuticals & Biotechnology
BMWVENTLTD,,Metals & Mining
BODALCHEM,,Chemicals & Petrochemicals
BOHRAIND,,Fertilizers
BOMDYEING,,Textiles Apparels & Accessories
